ticker,date,headline,finbert_sentiment,close_price,next_close_1d,movement,gemma_sentiment,gemma_direction
AAPL,2020-04-30,Apple CEO Tim Cook: Store Traffic Not Back To Pre-COVID-19 Levels In China,negative,70.98970031738281,69.84679412841797,0,negative,0
AAPL,2020-03-13,"Apple Gets Upgrade, Futures Reverse Downward Course As Washington Stimulus Awaited",negative,67.16476440429688,58.52421188354492,0,negative,0
AAPL,2020-03-24,"Rise In Semiconductor, Cloud Computing Stocks Could Set Tone For Broader Economy",positive,59.652591705322266,59.32399368286133,0,positive,1
AAPL,2020-06-02,A Peek Into The Markets: US Stock Futures Up; Crude Oil Rises Over 2%,positive,78.33879852294922,78.77007293701172,1,positive,1
AAPL,2020-04-15,Software Rises Above Semiconductors And Hardware As Tech Heads Into Earnings Season,positive,68.72566986083984,69.271728515625,1,positive,1
AAPL,2020-04-22,These Companies Could Rebound Sharply After The COVID-19 Crisis,positive,66.71292114257812,66.45438385009766,0,positive,1
AAPL,2020-03-17,"Morgan Stanley Maintains Overweight on Apple, Lowers Price Target to $328",negative,61.09753036499024,59.60186767578125,0,negative,0
AAPL,2020-04-28,"Apple Earnings Ahead: Rough Quarter, iPhone Expectations And Getting Back To Business",negative,67.31214141845703,69.52301025390625,1,negative,0
AAPL,2020-03-11,"Shares of several companies in the technology, software and semiconductor space are trading lower as equities sell off amid coronavirus fears. The virus spread has disrupted economic activity across sectors and caused global macro uncertainty.",negative,66.55103302001953,59.97880172729492,0,negative,0
AAPL,2020-05-28,"Tech Companies Aren't 'State Actors,' Judge Dismisses Conservative Bias Lawsuit Against Facebook, Twitter, Google, Apple",negative,77.10562133789062,77.03050231933594,0,positive,1
AAPL,2020-03-10,"Airlines Continue Suffering As Delta, American Announce Schedule Cuts, But Crude Bounces",negative,68.94554138183594,66.55103302001953,0,negative,0
AAPL,2020-05-01,"UPDATE: Cascend Reiterates Buy On Apple, Lowers Target To $325 Notes 'not providing guidance is worrying even as the company performs solidly in a difficult environment",negative,69.84679412841797,70.8350601196289,1,negative,0
AAPL,2020-06-02,MoneyGram Shares Jump 50% As Western Union Reportedly Looks For Acquisition,positive,78.33879852294922,78.77007293701172,1,positive,1
AAPL,2020-05-19,"Walmart Earnings Look Strong Across the Board, But Home Depot Down After Missing on EPS",negative,75.86756896972656,77.34303283691406,1,negative,0
AAPL,2020-03-16,"Amazon Hiring 100,000 Workers To Meet Increased Demand As Coronavirus Forces Social Distancing",negative,58.52421188354492,61.09753036499024,1,positive,1
AAPL,2020-04-06,"3M, Trump Strike Deal To Import 166.5M Masks From China, Company To Continue To Supply Abroad",positive,63.41956329345703,62.68502426147461,0,positive,1
AAPL,2020-05-27,"Deutsche Bank Maintains Buy on Apple, Raises Price Target to $320",positive,77.07169342041016,77.10562133789062,1,positive,1
AAPL,2020-04-21,Shares of several technology companies are trading lower amid overall market weakness following a collapse in oil prices. Oil has been negatively impacted by excess supply and low demand amid the coronavirus pandemic.,negative,64.84513854980469,66.71292114257812,1,negative,0
AAPL,2020-03-10,Shares of several technology companies are trading higher as markets look to rebound from Monday's selloff. The technology sector has been highly impacted by the coronavirus due to its China exposure and sensitivity to economic conditions.,negative,68.94554138183594,66.55103302001953,0,positive,1
AAPL,2020-05-21,Apple Vs. Tesla: Morgan Stanley Breaks Down The Parallels,negative,76.76641082763672,77.26068115234375,1,positive,1
AAPL,2020-03-13,Apple shares are trading higher after Wells Fargo upgraded the stock from Equal-Weight to Overweight and announced a $315 price target. NOTE: The overall market is also rebounding from Thursday's crash.,positive,67.16476440429688,58.52421188354492,0,positive,1
AAPL,2020-06-01,Apple Cuts iPhone Prices in China To Push Sales As Country Reopens Economy,negative,77.97782897949219,78.33879852294922,1,positive,1
AAPL,2020-04-27,Raymond James On Reports Of Apple iPhone Delays Says 'Apple suppliers we spoke with hadn't seen changes yet'; Says 'Our conclusion is that AAPL is likely selectively notifying suppliers.',negative,68.42121124267578,67.31214141845703,0,positive,1
AAPL,2020-04-08,"JP Morgan Maintains Overweight on Apple, Lowers Price Target to $335",negative,64.2894287109375,64.75332641601562,1,negative,0
AAPL,2020-03-11,"As Market Gyrates, Investors Seek Direction From Large Stocks Including Apple, Microsoft",positive,66.55103302001953,59.97880172729492,0,negative,0
AAPL,2020-05-21,"As The Global Economy Weighs Fears Of A Recession, Travel Is Already In A Depression",negative,76.76641082763672,77.26068115234375,1,negative,0
AAPL,2020-04-30,"Apple CEO Tim Cook ""Despite COVID-19's unprecedented global impact, we're proud to report that Apple grew for the quarter, driven by an all-time record in Services and a quarterly record for Wearables""",positive,70.98970031738281,69.84679412841797,0,positive,1
AAPL,2020-03-23,Foxconn Has Secured Enough Workers To Meet 'Seasonal Demand' At All Major Chinese Plants,positive,54.21360778808594,59.652591705322266,1,positive,1
AAPL,2020-04-30,Apple Shares Trading Higher 2.3% Following Q2 Earnings,positive,70.98970031738281,69.84679412841797,0,positive,1
AAPL,2020-05-27,Same Old Leadership Song Lifts These Leveraged ETFs,positive,77.07169342041016,77.10562133789062,1,positive,1
AAPL,2020-04-07,"Shares of several technology, semiconductor, and software companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending and economic activity.",positive,62.68502426147461,64.2894287109375,1,positive,1
AAPL,2020-05-01,"Apple, Huawei Each Captured a Higher Share of China's Smartphone Market in Q1, Says Canalys",positive,69.84679412841797,70.8350601196289,1,positive,1
AAPL,2020-05-04,Apple Grows Smartphone Market Share Even As Overall Market Declines At Record Pace,positive,70.8350601196289,71.89822387695312,1,positive,1
AAPL,2020-04-09,"Nomura Maintains Neutral on Apple, Raises Price Target to $240",positive,64.75332641601562,66.02428436279297,1,negative,0
AAPL,2020-04-16,"Deutsche Bank Maintains Buy on Apple, Raises Price Target to $285",positive,69.271728515625,68.3318099975586,0,positive,1
AAPL,2020-03-27,Huawei Releases Latest Flagship Phone Amid Global Coronavirus Lockdown,positive,59.86041259765625,61.56869888305664,1,negative,0
AAPL,2020-03-27,"Loup Ventures Says Believes It Is Still Likely Apple Will Host A Fall 5G iPhone Launch; Notes China Manufacturing And Assembly, Including Some Apple Partners Are Starting To Ramp Up Production",positive,59.86041259765625,61.56869888305664,1,positive,1
AAPL,2020-05-27,Leidos Awarded $84.6M Payment from VirnetX Lawsuit vs Apple,positive,77.07169342041016,77.10562133789062,1,positive,1
AAPL,2020-04-01,Some Staples Stocks Bouncing Back After Sliding In Recent Rally As Caution Tightens Grip,negative,58.210105895996094,59.18143844604492,1,positive,1
AAPL,2020-03-25,"A Peek Into The Markets: US Stock Futures Surge After Senate, White House Strike Deal On Coronavirus Stimulus Package",positive,59.32399368286133,62.445796966552734,1,positive,1
AAPL,2020-03-30,Shares of several technology companies are trading higher as equities continue to rise following last week's rebound amid US stimulus measures.,positive,61.56869888305664,61.44305038452149,0,positive,1
AAPL,2020-03-16,Apple Fined â¬1.1B byFrench Competition Authority for Anti-competitive Behaviour in Its Distribution Network,negative,58.52421188354492,61.09753036499024,1,negative,0
AAPL,2020-04-16,Apple shares are trading higher after Deutsche Bank maintained its Buy rating on the stock and raised its price target from $270 to $285 per share.,positive,69.271728515625,68.3318099975586,0,positive,1
AAPL,2020-05-01,"UBS Maintains Buy on Apple, Raises Price Target to $325",positive,69.84679412841797,70.8350601196289,1,positive,1
AAPL,2020-03-17,So-Called 'MAGA' Stocks Lose $1T Market Value In A Single Day,negative,61.09753036499024,59.60186767578125,0,negative,0
AAPL,2020-05-29,"Remote Working Boosts Peripherals, PC Sales: 4 Stocks to Buy",positive,77.03050231933594,77.97782897949219,1,positive,1
AAPL,2020-04-30,Apple shares are trading higher after the company reported better-than-expected Q2 EPS and sales results. UPDATE: Shares have since reversed.,negative,70.98970031738281,69.84679412841797,0,positive,1
AAPL,2020-04-17,"Benzinga's Top Upgrades, Downgrades For April 17, 2020",negative,68.3318099975586,66.9134750366211,0,positive,1
AAPL,2020-04-01,Apple Analyst Projects 'Multi-Quarter Impact' On iPhone Shipments From COVID-19 Pandemic,negative,58.210105895996094,59.18143844604492,1,negative,0
AAPL,2020-04-06,Apple shares are trading higher potentially due to the company announcing it would produce 1 million face shields per week for healthcare workers.,positive,63.41956329345703,62.68502426147461,0,positive,1
AAPL,2020-04-01,"A Peek Into The Markets: US Stock Futures Tumble Ahead Of ADP, Manufacturing Reports",negative,58.210105895996094,59.18143844604492,1,negative,0
AAPL,2020-05-28,Kroger: Capital Preservation and More at a Good Price,positive,77.10562133789062,77.03050231933594,0,positive,1
AAPL,2020-03-30,Apple Supplier Foxconn's Profit Falls Nearly 25% Year-Over-Year: Report,negative,61.56869888305664,61.44305038452149,0,negative,0
AAPL,2020-03-11,"UPDATE: BofA Securities Reiterates Buy On Apple, Lowers Target To $320 As Firm Notes 'Lowering estimates on weaker global demand, some delay in product launches'",negative,66.55103302001953,59.97880172729492,0,negative,0
AAPL,2020-04-22,Another Autonomous Trucking Startup Announces Layoffs,negative,66.71292114257812,66.45438385009766,0,negative,0
AAPL,2020-04-27,"B of A Securities Earlier Reiterated Buy on Apple, Raised Price Target to $310",positive,68.42121124267578,67.31214141845703,0,positive,1
AAPL,2020-03-27,"Shares of several technology, semiconductor, and software companies are trading lower as a potential sell-off from this week's strength. While US stimulus legislation has boosted economic optimism, demand concerns still exist amid the coronavirus.",negative,59.86041259765625,61.56869888305664,1,negative,0
AAPL,2020-04-30,"Apple CEO, On TV+, Says Have Seen A Significant Uptick In Number Of People Who Are Viewing The Content As Well As The Engagement With Content",positive,70.98970031738281,69.84679412841797,0,positive,1
AAPL,2020-05-13,"Retail Pro Says Giants Like Amazon, Walmart Will Prevail After Coronavirus: 'It's Not Fair'",negative,74.53744506835938,74.995361328125,1,positive,1
AAPL,2020-04-24,Hearing Credit Suisse Asia Sees Apple Cutting iPhone Jul. To Sept. Production By 30% Given A Delay In Production Ramp For 2020 Models,negative,68.37289428710938,68.42121124267578,1,negative,0
AAPL,2020-03-25,Apple Shares Tank As Report Says New iPhone Launch Could Be Moved To Next Year,negative,59.32399368286133,62.445796966552734,1,negative,0
AAPL,2020-03-27,"Trump Lashes Out At Washington, Michigan Governors For Pandemic Response: 'We Don't Like To See The Complaints'",negative,59.86041259765625,61.56869888305664,1,negative,0
AAPL,2020-04-22,Gene Munster Sees Apple And Tesla As Biggest Winners This Earnings Season,positive,66.71292114257812,66.45438385009766,0,positive,1
AAPL,2020-03-11,Coronavirus â Another Severe Hit To The Automotive Industry,negative,66.55103302001953,59.97880172729492,0,negative,0
AAPL,2020-05-01,Apple Increased Smartphone Market Share In China In Q1 During Pandemic: Report,positive,69.84679412841797,70.8350601196289,1,positive,1
AAPL,2020-03-11,"UPDATE: BofA Securities On Apple Notes 'We reiterate Buy on large cash balance/optionality, expected new buyback authorization in April and upcoming 5G cycle'",positive,66.55103302001953,59.97880172729492,0,positive,1
AAPL,2020-04-21,Apple Shares Spike 1.5% Amid Nikkei Report Co. Aiming To Increase iPhone Output By 4% Through Mar.,positive,64.84513854980469,66.71292114257812,1,positive,1
AAPL,2020-05-01,"Apple Has 'Better Days Ahead,' Analysts Say After Q1 Earnings Beat",positive,69.84679412841797,70.8350601196289,1,positive,1
AAPL,2020-04-30,"Apple CFO Says Due To Reduced Level Of Economic Activity, Services Like Apple Care And Advertising Have Been Impacted",negative,70.98970031738281,69.84679412841797,0,negative,0
